fixed.project_name,fixed.sku_description,usage_date,fixed.pricing_unit,metric.usage,metric.unit_price,metric.cost,fixed.region
Marketing,Premium_D4_v2,2025-01-01T00:00:00Z,Compute,7.71,0.4,3.08,ap-northeast-1
Analytics,Jobs Compute DBU,2025-01-01T00:00:00Z,DBU,9.63,0.15,1.44,ap-northeast-1
Data,Interactive Compute DBU,2025-01-01T00:00:00Z,DBU,2.71,0.55,1.49,eu-west-1
Marketing,Interactive Compute DBU,2025-01-02T00:00:00Z,DBU,5.84,0.55,3.21,us-west-2
Analytics,Premium_D4_v2,2025-01-02T00:00:00Z,Compute,6.05,0.4,2.42,us-east-1
Data,Interactive Compute DBU,2025-01-02T00:00:00Z,DBU,1.64,0.55,0.9,ap-southeast-1
Marketing,Premium_D4_v2,2025-01-03T00:00:00Z,Compute,1.01,0.4,0.4,ap-southeast-1
Analytics,Standard_D3_v2,2025-01-03T00:00:00Z,Compute,7.78,0.25,1.95,ap-southeast-1
Data,Standard_D3_v2,2025-01-03T00:00:00Z,Compute,1.91,0.25,0.48,us-central1
Marketing,Premium_D4_v2,2025-01-04T00:00:00Z,Compute,2.14,0.4,0.86,us-central1
Analytics,Jobs Compute DBU,2025-01-04T00:00:00Z,DBU,1.07,0.15,0.16,eu-west-1
Data,Premium_D4_v2,2025-01-04T00:00:00Z,Compute,4.91,0.4,1.96,us-east-1
Marketing,Standard_D3_v2,2025-01-05T00:00:00Z,Compute,3.08,0.25,0.77,us-central1
Analytics,Jobs Compute DBU,2025-01-05T00:00:00Z,DBU,2.59,0.15,0.39,eu-west-1
Data,Premium_D4_v2,2025-01-05T00:00:00Z,Compute,7.14,0.4,2.86,ap-northeast-1
Marketing,Premium_D4_v2,2025-01-06T00:00:00Z,Compute,6.53,0.4,2.61,us-central1
Analytics,Premium_D4_v2,2025-01-06T00:00:00Z,Compute,6.72,0.4,2.69,us-central1
Data,Premium_D4_v2,2025-01-06T00:00:00Z,Compute,9.36,0.4,3.74,ap-northeast-1
Marketing,Standard_D3_v2,2025-01-07T00:00:00Z,Compute,4.38,0.25,1.09,us-west-2
Analytics,Jobs Compute DBU,2025-01-07T00:00:00Z,DBU,1.82,0.15,0.27,eu-central-1
Data,Interactive Compute DBU,2025-01-07T00:00:00Z,DBU,8.79,0.55,4.83,us-west-2
Marketing,Standard_D3_v2,2025-01-08T00:00:00Z,Compute,6.03,0.25,1.51,eu-west-1
Analytics,Standard_D3_v2,2025-01-08T00:00:00Z,Compute,7.89,0.25,1.97,ap-northeast-1
Data,Premium_D4_v2,2025-01-08T00:00:00Z,Compute,8.93,0.4,3.57,ap-northeast-1
Marketing,Standard_D3_v2,2025-01-09T00:00:00Z,Compute,6.18,0.25,1.54,us-central1
Analytics,Standard_D3_v2,2025-01-09T00:00:00Z,Compute,6.08,0.25,1.52,us-east-1
Data,Premium_D4_v2,2025-01-09T00:00:00Z,Compute,5.18,0.4,2.07,us-east-1
Marketing,Interactive Compute DBU,2025-01-10T00:00:00Z,DBU,1.13,0.55,0.62,eu-west-1
Analytics,Jobs Compute DBU,2025-01-10T00:00:00Z,DBU,3.85,0.15,0.58,ap-northeast-1
Data,Premium_D4_v2,2025-01-10T00:00:00Z,Compute,5.57,0.4,2.23,eu-central-1
Marketing,Interactive Compute DBU,2025-01-11T00:00:00Z,DBU,6.99,0.55,3.84,ap-northeast-1
Analytics,Interactive Compute DBU,2025-01-11T00:00:00Z,DBU,8.72,0.55,4.8,us-east-1
Data,Jobs Compute DBU,2025-01-11T00:00:00Z,DBU,2.97,0.15,0.45,ap-southeast-1
Marketing,Interactive Compute DBU,2025-01-12T00:00:00Z,DBU,3.6,0.55,1.98,us-central1
Analytics,Interactive Compute DBU,2025-01-12T00:00:00Z,DBU,3.1,0.55,1.71,eu-west-1
Data,Premium_D4_v2,2025-01-12T00:00:00Z,Compute,2.96,0.4,1.18,eu-west-1
Marketing,Interactive Compute DBU,2025-01-13T00:00:00Z,DBU,8.36,0.55,4.6,us-west-2
Analytics,Interactive Compute DBU,2025-01-13T00:00:00Z,DBU,5.4,0.55,2.97,eu-west-1
Data,Interactive Compute DBU,2025-01-13T00:00:00Z,DBU,5.07,0.55,2.79,ap-northeast-1
Marketing,Premium_D4_v2,2025-01-14T00:00:00Z,Compute,4.59,0.4,1.84,eu-west-1
Analytics,Jobs Compute DBU,2025-01-14T00:00:00Z,DBU,4.18,0.15,0.63,us-east-1
Data,Interactive Compute DBU,2025-01-14T00:00:00Z,DBU,7.67,0.55,4.22,us-central1
Marketing,Jobs Compute DBU,2025-01-15T00:00:00Z,DBU,0.72,0.15,0.11,eu-west-1
Analytics,Interactive Compute DBU,2025-01-15T00:00:00Z,DBU,5.16,0.55,2.84,eu-west-1
Data,Jobs Compute DBU,2025-01-15T00:00:00Z,DBU,4.67,0.15,0.7,us-west-2
